Feature,subject_id,Condition_encoded,Fitted,Residuals
counts_CAP-1,964,0,23.456408028265557,4.543591971734443
counts_CAP-1,965,0,23.527440642590534,1.472559357409466
counts_CAP-1,970,0,24.031295545991902,-0.03129554599190243
counts_CAP-1,980,0,23.31646076941998,-0.31646076941997947
counts_CAP-1,983,0,23.643405681222564,-6.643405681222564
counts_CAP-1,990,0,24.371400505647642,-5.371400505647642
counts_CAP-1,1003,0,24.43664076844791,-0.43664076844790856
counts_CAP-1,1004,0,22.972118898162716,-7.972118898162716
counts_CAP-1,1005,0,22.10097170508923,-8.10097170508923
counts_CAP-1,1013,0,23.44816605844366,0.5518339415563389
counts_CAP-1,1017,0,23.508583694651296,1.4914163053487037
counts_CAP-1,1018,0,23.20461196306526,7.795388036934739
counts_CAP-1,1019,0,24.807337694158015,-2.807337694158015
counts_CAP-1,1023,0,23.471355690310403,-6.4713556903104035
counts_CAP-1,1026,0,22.877235026696567,-4.877235026696567
