Metric,Feature,Analysis_Type,N,beta,t_value,p_value,p_FDR
transition_probability,5.6,Longitudinal,470,-0.003526835997963497,-1.683230963849004,0.09233038885381913,0.21983425917575983
transition_probability,5.7,Longitudinal,470,-0.0025749277969013195,-0.8516441988609265,0.39441160026939104,0.5022568106666817
transition_probability,6.1,Longitudinal,470,0.005053703669018665,1.229927848343283,0.2187241247415378,0.4042371931835095
transition_probability,6.2,Longitudinal,470,0.0047398577842492256,1.1413177699317474,0.25373770996570744,0.4042796986203927
transition_probability,6.3,Longitudinal,470,0.0060752143324834754,1.2861275635888143,0.19839854590509576,0.3815356652021072
transition_probability,6.4,Longitudinal,470,0.012896200325170486,3.039863667108695,0.0023668526176404124,0.02278400491935173
transition_probability,6.5,Longitudinal,470,0.0031291918291462386,0.8590678620407268,0.3903030768974626,0.5022568106666817
transition_probability,6.6,Longitudinal,470,-0.030735946696384374,-3.6450660193313915,0.00026732316825005644,0.009902790367554454
transition_probability,6.7,Longitudinal,470,-0.0011654893677721372,-2.0296097449057773,0.042396223574495205,0.14132074524831736
transition_probability,7.1,Longitudinal,470,-0.0026290842818803726,-0.7847922443693554,0.43257538806843865,0.5275309610590716
transition_probability,7.2,Longitudinal,470,0.0019553515960907077,0.5266805439429206,0.5984154488050073,0.6649060542277859
transition_probability,7.3,Longitudinal,470,0.003059660571255656,0.8384011415641673,0.40180544853334543,0.5022568106666817
transition_probability,7.4,Longitudinal,470,0.009440429595962531,2.990585071659363,0.0027844355777604437,0.02278400491935173
transition_probability,7.5,Longitudinal,470,0.008047964216048703,2.076171212260818,0.037878118775336776,0.13527899562620277
transition_probability,7.6,Longitudinal,470,-0.0008078892165995546,-1.782569395641436,0.0746564254059113,0.20737895946086474
transition_probability,7.7,Longitudinal,470,-0.01905652027354684,-2.551303565436839,0.010732080320172024,0.052420949728054236
