Group,CAP,ROI,TemplateValue
All Subjects,CAP-4,A4ll_l,0.5014975070953369
All Subjects,CAP-5,A4ll_l,-0.4399060010910034
All Subjects,CAP-6,A4ll_l,-0.35674163699150085
All Subjects,CAP-7,A4ll_l,0.21085204184055328
All Subjects,CAP-1,A4ll_r,0.3020746111869812
All Subjects,CAP-2,A4ll_r,0.25254106521606445
All Subjects,CAP-3,A4ll_r,-0.4379173815250397
All Subjects,CAP-4,A4ll_r,0.5669167041778564
All Subjects,CAP-5,A4ll_r,-0.49346962571144104
All Subjects,CAP-6,A4ll_r,-0.30524829030036926
All Subjects,CAP-7,A4ll_r,0.15996015071868896
All Subjects,CAP-1,A38m_l,0.4916026294231415
All Subjects,CAP-2,A38m_l,0.021228767931461334
All Subjects,CAP-3,A38m_l,-0.3945592939853668
All Subjects,CAP-4,A38m_l,-0.401057630777359
All Subjects,CAP-5,A38m_l,0.3723493814468384
All Subjects,CAP-6,A38m_l,-0.49858999252319336
All Subjects,CAP-7,A38m_l,0.366940438747406
All Subjects,CAP-1,A38m_r,0.3749972879886627
All Subjects,CAP-2,A38m_r,0.09409555047750473
All Subjects,CAP-3,A38m_r,-0.38459643721580505
All Subjects,CAP-4,A38m_r,-0.2871996760368347
All Subjects,CAP-5,A38m_r,0.2740221917629242
All Subjects,CAP-6,A38m_r,-0.43919655680656433
All Subjects,CAP-7,A38m_r,0.33053234219551086
All Subjects,CAP-1,A41/42_l,0.3010078966617584
All Subjects,CAP-2,A41/42_l,0.17277684807777405
All Subjects,CAP-3,A41/42_l,-0.37173986434936523
All Subjects,CAP-4,A41/42_l,0.5266041159629822
