Feature,feature_base,Gender_Cohort,N_subcohort,beta_interaction,p_interaction,beta_off_on_nonres,p_off_on_nonres,beta_off_on_res,p_off_on_res,beta_group_on,p_group_on,beta_group_off,p_group_off,Metric_Group,p_interaction_FDR,p_off_on_nonres_FDR,p_off_on_res_FDR,p_group_on_FDR,p_group_off_FDR
transition_probability_1.1,transition_probability_1.1,Gender_2,202,-0.018009226398107533,0.5107295150287607,0.007361437425877479,0.7454873637670563,-0.010647788972230053,0.4873835564889646,-0.02372611327132412,0.23610746047566122,-0.04173533966943165,0.03575730485196882,transition_probability,0.9146402367862766,0.8909483127947745,0.6454538991340342,0.8867130828716255,0.7674386137169169
transition_probability_1.2,transition_probability_1.2,Gender_1,234,0.014560521834496572,0.15712381764779534,-0.002986601014732945,0.699005897908868,0.011573920819763626,0.09026992400867284,-4.42990695941757e-05,0.9957643145230644,0.014516222764902397,0.08065532685937948,transition_probability,0.8849845048814684,0.9921543398406043,0.8747856872437774,0.9957643145230644,0.6586851693515992
transition_probability_1.2,transition_probability_1.2,Gender_2,202,-0.0018865065524151135,0.8824967068155315,0.01075984310638715,0.30875227612159617,0.008873336553972037,0.21438200236844818,0.011561611115564644,0.21445284492153194,0.00967510456314953,0.2952487855134658,transition_probability,0.96652567290182,0.5956149912773334,0.4221990184401747,0.8867130828716255,0.7674386137169169
transition_probability_1.3,transition_probability_1.3,Gender_1,234,-0.0182701820930079,0.04788833237313274,0.01764509316040182,0.010914097049461668,-0.0006250889326060785,0.9187109151761457,0.0071752440916411945,0.3023224557926505,-0.011094938001366704,0.10931370715975097,transition_probability,0.8849845048814684,0.17826358514120724,0.9921758591288894,0.9957643145230644,0.7522117616796361
transition_probability_1.3,transition_probability_1.3,Gender_2,202,-0.005477227732745519,0.5667323936280442,0.0032833437345739075,0.6787030707571597,-0.0021938839981716115,0.6812136347385089,0.008368874864285223,0.2987284620357935,0.0028916471315397043,0.717331645371406,transition_probability,0.9146402367862766,0.8751697491342323,0.7417659578263763,0.8867130828716255,0.9012628364922793
transition_probability_1.4,transition_probability_1.4,Gender_1,234,0.003745210939976455,0.7531399918995085,-0.0009270043022473467,0.917396853519282,0.0028182066377291084,0.7213583407898949,-0.00712802594703608,0.4418028576568904,-0.0033828150070596254,0.7139594803103784,transition_probability,0.9639577362162925,0.9921543398406043,0.8747856872437774,0.9957643145230644,0.8936167655242496
transition_probability_1.4,transition_probability_1.4,Gender_2,202,0.009571919978204913,0.4583907390154055,0.003740532971392081,0.7266799203674763,0.013312452949596994,0.06489084890634134,-0.0010108351982643649,0.9254472795643698,0.008561084779940548,0.4242749708063627,transition_probability,0.9024237268339428,0.8901829024501584,0.24458858433928657,0.9897477032262825,0.794162211124062
transition_probability_1.5,transition_probability_1.5,Gender_1,234,-0.010530909270033924,0.26805939765763476,0.013456545925072613,0.059368248829938075,0.0029256366550386888,0.6427642604646973,-0.00024739769554488645,0.9728713381474756,-0.010778306965578811,0.1368642407566769,transition_probability,0.8849845048814684,0.41136841158078985,0.8747856872437774,0.9957643145230644,0.7522117616796361
transition_probability_1.5,transition_probability_1.5,Gender_2,202,0.01514605087216667,0.13950560420817373,0.00037406871552226576,0.9648646099833427,0.015520119587688936,0.006809097738085468,-0.00035816313007092267,0.9634602941338901,0.014787887742095747,0.05661648682288245,transition_probability,0.7595305118000569,0.9849659560246623,0.06672915783323759,0.9897477032262825,0.7674386137169169
transition_probability_1.6,transition_probability_1.6,Gender_1,234,0.016374193013531022,0.11233499168619214,-0.013313098866528587,0.08548368140493312,0.003061094147002435,0.6543002019527839,-0.003238929396624579,0.6638044027126118,0.013135263616906444,0.07681204368358419,transition_probability,0.8849845048814684,0.4188700388841723,0.8747856872437774,0.9957643145230644,0.6586851693515992
transition_probability_1.6,transition_probability_1.6,Gender_2,202,-0.00926389744594552,0.3931525986412301,-0.01201981525949761,0.18126523859090238,-0.02128371270544313,0.0004490121859368479,0.010118159886374043,0.2467411298858182,0.0008542624404285232,0.9214674211083425,transition_probability,0.9024237268339428,0.5022842676479436,0.02200159711090555,0.8867130828716255,0.9554180324810815
transition_probability_1.7,transition_probability_1.7,Gender_1,234,0.0030101271757073623,0.7638682584529329,-0.010164752982992143,0.1765127387743446,-0.007154625807284781,0.2820286279537254,-0.007016994820858022,0.37930168513950413,-0.004006867645150659,0.6141739351316446,transition_probability,0.9639577362162925,0.6653172461494526,0.8747856872437774,0.9957643145230644,0.8486450984577911
